Title,Artist,Key,Chord 1,1,2,3,4,5,6,7,8,Chord 2,1,2,3,4,5,6,7,8,Chord 3,1,2,3,4,5,6,7,8,Chord 4,1,2,3,4,5,6,7,8
Wake Me Up,Avicii,Minor,0,C,C,C,C,6,C,C,C,5,5,C,4,4,C,3,2,C,2,2,C,C,C,C,C,C,C,6,C,C,0,C,0,C,1,C
Wake Me Up,Avicii,Minor,0,0,C,C,C,0,C,C,-1,5,0,2,0,C,C,-1,0,-1,2,2,C,C,C,2,C,C,2,6,3,2,3,C,4,C,2,C
Ridin' Solo,Jason Derulo,Major,0,C,C,0,0,4,4,7,C,4,C,C,-1,-1,3,3,6,C,6,C,C,-1,-1,3,3,6,C,3,C,C,-2,-2,3,3,5,C
Ridin' Solo,Jason Derulo,Major,0,7,7,7,7,4,C,3,7,4,C,7,C,7,4,C,3,C,6,7,7,7,C,4,C,3,7,3,C,7,7,7,4,3,4,5
Ridin' Solo,Jason Derulo,Major,0,4,C,4,C,C,4,4,5,4,4,C,3,C,C,3,3,3,6,4,C,3,C,C,3,3,3,3,4,C,1,C,3,C,4,C
Let Her Go,Passenger,Major,0,4,C,4,4,4,2,4,C,4,C,C,C,C,5,6,5,4,1,5,C,5,5,6,C,5,4,2,C,C,C,C,5,6,5,4
Let Her Go,Passenger,Minor,0,4,4,4,4,4,3,2,2,5,2,C,C,C,4,4,C,4,6,C,3,C,3,3,2,1,C,4,1,C,C,-1,4,3,C,2
Cheap Thrills,Sia,Minor,0,4,C,3,4,C,C,4,3,5,4,7,7,C,7,C,C,7,2,6,C,6,6,C,C,6,6,6,6,C,6,C,6,C,4,3
Cheap Thrills,Sia,Minor,0,2,C,3,C,1,C,C,1,5,2,C,3,C,1,C,C,1,2,2,C,2,C,2,C,-1,C,6,-1,C,C,C,C,C,0,1
Cheap Thrills,Sia,Minor,0,2,C,C,0,C,C,0,C,5,0,0,C,0,C,-1,0,C,2,0,C,-1,-1,C,C,2,C,6,1,C,1,C,1,C,C,C
Cheap Thrills,Sia,Minor,0,-3,C,0,C,1,C,2,C,5,1,C,C,C,1,C,0,C,2,-3,C,C,C,C,C,C,C,6,C,C,C,C,C,C,C,-3
